Applicant_ID,Name,Gender,Age,Experience_Years,Degree,Skills,Languages_Known,Applied_Role,Location,Salary_Expected,Certifications,Certifications_Count,Current_Employment_Status,Notice_Period_Days,Interview_Score,Work_Auth_Status,Previous_Company,Last_Company_Rating,Job_Type,Remote_Preference,Industry,GitHub_Profile,LinkedIn_Profile,Projects_Completed,Training_Completed,Employment_Gap_Years,Relocation_Ready,Freelance_Experience,Application_Status
659,Sam,Male,20,25,B.Sc,"SQL, Database Management","Python, SQL",Database Admin,New York,251025,Yes,3,Employed,15,8,Yes,,1,Full-time,No,E-commerce,No,Yes,3,No,0,Yes,No,Pending
584,Mike,Female,20,39,MBA,,"English, Spanish",Database Admin,Chicago,320199,No,2,Employed,45,4,Yes,Microsoft,4,Part-time,Yes,E-commerce,Yes,No,5,No,5,No,No,Rejected
378,Amy,Female,20,19,B.Tech,"Power BI, SQL","SQL, R",BI Developer,Austin,217815,Yes,0,Employed,60,,No,None,4,Contract,Yes,E-commerce,Yes,No,3,Yes,0,Yes,Yes,Pending
181,Mike,Male,20,4,B.Tech,"Python, SQL, Statistics","English, French",Data Scientist,San Francisco,,No,4,Unemployed,45,10,Yes,IBM,2,Contract,No,Education,No,Yes,3,Yes,0,Yes,Yes,Rejected
870,Olivia,Female,20,0,B.Tech,"Python, SQL, Statistics","Excel, Power BI",Data Scientist,San Francisco,30000,Yes,0,Employed,45,,Yes,Microsoft,2,Contract,No,Finance,Yes,Yes,13,Yes,2,Yes,No,Rejected
440,Olivia,Male,20,23,B.Sc,,"Java, C++",ML Engineer,Seattle,239208,Yes,0,Unemployed,60,5,No,Amazon,1,Contract,No,Healthcare,No,Yes,10,Yes,4,No,No,Rejected
421,Mike,Male,20,33,Ph.D,"SQL, Database Management","SQL, R",Database Admin,Austin,244368,Yes,4,Unemployed,30,9,No,Google,4,Full-time,Yes,E-commerce,No,No,9,Yes,5,No,No,Rejected
662,Sam,Male,20,26,,,"Java, C++",ML Engineer,Chicago,252430,No,3,Unemployed,90,4,No,Google,4,Part-time,No,Education,Yes,No,9,No,5,No,No,Selected
219,Robert,Non-Binary,20,40,B.Tech,"Power BI, SQL","Java, C++",BI Developer,San Francisco,424440,Yes,5,Employed,15,3,Yes,Google,2,Full-time,Yes,Retail,No,No,1,Yes,2,No,Yes,Pending
152,Mike,Male,20,29,B.Sc,"SQL, Database Management","Python, SQL",Database Admin,Chicago,313214,No,2,Employed,90,2,Yes,Startup Inc.,5,Part-time,No,Education,Yes,No,8,Yes,5,Yes,Yes,Selected
336,Olivia,Non-Binary,20,40,Ph.D,,"Excel, Power BI",Data Scientist,San Francisco,364320,No,1,Employed,15,,No,,5,Contract,No,Education,Yes,Yes,11,No,1,Yes,No,Selected
562,Olivia,Male,20,6,Ph.D,"Python, Machine Learning","Excel, Power BI",ML Engineer,Chicago,69606,Yes,3,Employed,90,6,Yes,Startup Inc.,2,Full-time,No,Finance,Yes,Yes,9,Yes,3,No,Yes,Rejected
741,Sophia,Non-Binary,20,13,B.Sc,"Python, SQL, Statistics","SQL, R",Data Scientist,New York,106882,No,2,Employed,45,10,Yes,Amazon,3,Contract,No,E-commerce,No,Yes,7,No,3,No,No,Selected
